"filename", "language", "XML", "Markdown", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\404.html", "HTML", 0, 0, 0, 75, 0, 0, 3, 78
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\convert\globals\style.css", "CSS", 0, 0, 112, 0, 0, 0, 1, 113
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\convert\length\index.html", "HTML", 0, 0, 0, 144, 0, 0, 5, 149
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\convert\length\main.js", "JavaScript", 0, 0, 0, 0, 75, 0, 2, 77
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\convert\mass\index.html", "HTML", 0, 0, 0, 143, 0, 0, 4, 147
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\convert\mass\main.js", "JavaScript", 0, 0, 0, 0, 75, 0, 2, 77
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\convert\speed\index.html", "HTML", 0, 0, 0, 107, 0, 0, 4, 111
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\convert\speed\main.js", "JavaScript", 0, 0, 0, 0, 33, 0, 2, 35
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\convert\temperature\index.html", "HTML", 0, 0, 0, 94, 0, 0, 4, 98
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\convert\temperature\main.js", "JavaScript", 0, 0, 0, 0, 23, 0, 2, 25
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\index.html", "HTML", 0, 0, 0, 83, 0, 0, 4, 87
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\first-page\main.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\first-page\style.css", "CSS", 0, 0, 98, 0, 0, 0, 1, 99
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\globals\global-fonts.css", "CSS", 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\globals\global-footer\global-footer.css", "CSS", 0, 0, 206, 0, 0, 0, 1, 207
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\globals\global-footer\global-footer.html", "HTML", 0, 0, 0, 110, 0, 2, 7, 119
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\globals\global-navbar\global-navbar.css", "CSS", 0, 0, 243, 0, 0, 2, 4, 249
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\globals\global-navbar\global-navbar.html", "HTML", 0, 0, 0, 40, 0, 0, 3, 43
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\globals\global-scrollbar.css", "CSS", 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\globals\global-top-button.css", "CSS", 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\globals\global-top-button\global-top-button.css", "CSS", 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\other\globals\global-top-button\global-top-button.html", "HTML", 0, 0, 0, 34, 0, 0, 4, 38
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\pages\404\style.css", "CSS", 0, 0, 101, 0, 0, 0, 0, 101
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aConverter\pages\contact\index.html", "HTML", 0, 0, 0, 100, 0, 1, 5, 106
